feature,importance_mean,importance_std
Humidity3pm,0.1476359229258714,0.02013124873016349
Pressure3pm,0.1252505727376862,0.009727141261212173
WindGustSpeed,0.06420287187039768,0.00498489997758581
Pressure9am,0.04178811773850437,0.007178729741581726
RainToday,0.008031111929307819,0.0023074184354068272
Sunshine,0.0074391977581411,0.003522887957776597
Cloud3pm,0.005088160693830807,0.001882060825828464
Date,0.0033379868270332347,0.001629250037872778
WindGustDir,0.0027179471444935543,0.0009065554703067638
Rainfall,0.002164385943380809,0.0005626714611571814
Location,0.0013934912452954334,0.0004347196320895487
MinTemp,0.0012247381770577742,0.002094275080884617
Cloud9am,0.0011927773686794818,0.0007409604561680655
MaxTemp,0.0010227458681066892,0.0009187935855316393
WindSpeed9am,0.000861663393879955,0.001990257612437132
WindDir9am,0.0006852397316314818,0.0019233945440663353
Evaporation,0.0005254356897398671,0.00025192254445422066
Temp3pm,0.0005203219603993059,0.0005430298417575741
Humidity9am,-2.173334969723939e-05,0.0004370799178315313
WindSpeed3pm,-0.00014062755686461426,0.0018890073961700244
Temp9am,-0.00016236090656190916,0.00027682414650024304
WindDir3pm,-0.0009319771723121928,0.0009067528615811991
